CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;MODIFIERS;MODIFICATEURS;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
agriculture1;Agricultural region;Région Agricole ;;;;;;;;;;;;x
agriculture1_desc;This region has strong agricultural potential just waiting to be exploited.;Cette région présente un fort potentiel agricole qui ne demande qu'à être toujours mieux exploité.;;;;;;;;;;;;x
agriculture2_cereales;Agriculture : CEREALS;Agriculture : CEREALES;;;;;;;;;;;;x
agriculture2_cereales_desc;This region has been cultivated and good returns are assured. The plains produce a wide variety of cereals.;Cette région a été mise en culture et assure de bons rendements. Les plaines produisent une grande variété de céréales.;;;;;;;;;;;;x
agriculture2_fruits;Agriculture : FRUIT;Agriculture : FRUITS;;;;;;;;;;;;x
agriculture2_fruits_desc;This region was cultivated and good returns are assured. The bumpy terrain and hillsides are covered with orchards with trees bending under the weight of their abundant production.;Cette région a été mise en culture et assure de bons rendements. Les zones vallonnées ou à flanc de coteaux sont couvertes de vergers aux arbres ployant sous le poids de leur abondante production.;;;;;;;;;;;;x
agriculture2_legumes;Production GARDENING;Production MARAICHERE;;;;;;;;;;;;x
agriculture2_legumes_desc;The rich and fertile soil permits the growing of vegetables and all kinds of plants that stock local markets and feed the people.;La terre riche et fertile permet la production de légumes et plantes de toutes sorte qui aliment les marchés locaux et nourrit le peuple.;;;;;;;;;;;;x
agriculture2_vigne;Agriculture : VINES;Agriculture : VIGNES;;;;;;;;;;;;x
agriculture2_vigne_desc;The hills here are planted with vines used primarily to develop wine.;Les coteaux sont ici plantés de vignes servant principalement à l'élaboration de vin.;;;;;;;;;;;;x
agriculture3_farine;Agriculture : FLOUR;Agriculture : FARINE;;;;;;;;;;;;x
agriculture3_farine_desc;;;;;;;;;;;;;;x
agriculture3_biere;Agriculture : BEER;Agriculture : BIERE;;;;;;;;;;;;x
agriculture3_biere_desc;The golden hues, the fine foam covering this pint of brew are not the least great selling points for our local beer!;Les reflets dorés, la fine mousse couvrant la chope de ce brassin sont à eux seuls de très bons arguments de vente pour notre bière locale ! ;;;;;;;;;;;;x
agriculture3_cidre;Agriculture : CIDER;Agriculture : CIDRE;;;;;;;;;;;;x
agriculture3_cidre_desc;The reputation of the cider produced on these lands can be judged by the quantities sold in the markets and in the taverns!;La réputation du cidre produit sur ses terres n'est à faire à en juger par les quantités écoulées sur les marchés et dans les tavernes ! ;;;;;;;;;;;;x
agriculture3_vin;Agriculture : WINE;Agriculture : VIN;;;;;;;;;;;;x
agriculture3_vin_desc;The cellars of the province produce a surplus, enough to fill the cellars of all the nobles and burghers of the region.;Les chais de la province produisent suffisament de surplus qui remplissent les caves des nobles et bourgeois de la région.;;;;;;;;;;;;x
agriculture4_pain;Agriculture : BREAD;Agriculture : PAIN;;;;;;;;;;;;x
