#;;x;;;;;;;;;;;;x
#;;ARTIFACTS;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;SLOTS;;;;;;;;;;;;x
slot_egg;Easter eggs;Oeufs de Pâques;;;;;;;;;;;;x
slot_books;Books (personal collection);Livres (collection personnelle);;;;;;;;;;;;x
#;;VARIOUS;;;;;;;;;;;;x
legendary_sword_2_0;Legendary sword 2.0;Épée légendaire 2.0;;;;;;;;;;;;x
legendary_sword_2_0_desc;A sword worthy of the greatest lords of the era of the second Roman Empire.;Épée digne des plus grands seigneurs de l'ère du second empire romain.;;;;;;;;;;;;x
sayf_al_islam;Sayf al-Islam;Sayf al-Islam;;;;;;;;;;;;x
sayf_al_islam_desc;A sword worthy of the greatest servants of [Root.Religion.GetHighGodName].;Épée digne des plus grands serviteurs d'[Root.Religion.GetHighGodName];;;;;;;;;;;;x
#EGGS;;x;;;;;;;;;;;;x
oeuf_1;Decorated egg;Oeuf décoré;;;;;;;;;;;;x
oeuf_1_desc;This egg is subtly decorated with fine and shimmering patterns. \nIt is said that there are several eggs of this kind throughout the World. \nThe legend also says that by catch' them all, one could glimpse the world differently.;Cet oeuf est subtilement décoré de motifs à la fois fins et chatoyants.\nIl existerait plusieurs oeufs de la sorte à travers le Monde.\nLa légende dit que les attraper tous permet d'entrevoir le Monde différemment.;;;;;;;;;;;;x
oeuf_2;Decorated egg;Oeuf décoré;;;;;;;;;;;;x
oeuf_2_desc;This egg is subtly decorated with fine and shimmering patterns. \nIt is said that there are several eggs of this kind throughout the World. \nThe legend also says that by catch' them all, one could glimpse the world differently.;Cet oeuf est subtilement décoré de motifs à la fois fins et chatoyants.\nIl existerait plusieurs oeufs de la sorte à travers le Monde.\nLa légende dit que les attraper tous permet d'entrevoir le Monde différemment.;;;;;;;;;;;;x
oeuf_3;Decorated egg;Oeuf décoré;;;;;;;;;;;;x
oeuf_3_desc;This egg is subtly decorated with fine and shimmering patterns. \nIt is said that there are several eggs of this kind throughout the World. \nThe legend also says that by catch' them all, one could glimpse the world differently.;Cet oeuf est subtilement décoré de motifs à la fois fins et chatoyants.\nIl existerait plusieurs oeufs de la sorte à travers le Monde.\nLa légende dit que les attraper tous permet d'entrevoir le Monde différemment.;;;;;;;;;;;;x
oeuf_4;Decorated egg;Oeuf décoré;;;;;;;;;;;;x
oeuf_4_desc;This egg is subtly decorated with fine and shimmering patterns. \nIt is said that there are several eggs of this kind throughout the World. \nThe legend also says that by catch' them all, one could glimpse the world differently.;Cet oeuf est subtilement décoré de motifs à la fois fins et chatoyants.\nIl existerait plusieurs oeufs de la sorte à travers le Monde.\nLa légende dit que les attraper tous permet d'entrevoir le Monde différemment.;;;;;;;;;;;;x
oeuf_5;Decorated egg;Oeuf décoré;;;;;;;;;;;;x
oeuf_5_desc;This egg is subtly decorated with fine and shimmering patterns. \nIt is said that there are several eggs of this kind throughout the World. \nThe legend also says that by catch' them all, one could glimpse the world differently.;Cet oeuf est subtilement décoré de motifs à la fois fins et chatoyants.\nIl existerait plusieurs oeufs de la sorte à travers le Monde.\nLa légende dit que les attraper tous permet d'entrevoir le Monde différemment.;;;;;;;;;;;;x
oeuf_united;The One Egg;L'Oeuf Unique;;;;;;;;;;;;x
oeuf_united_desc;It has come to me, the One Egg. \nIt shall be an heirloom of my Kingdom. All those who follow in my bloodline shall be bound to its fate. \nIt is precious to me, though I buy it with a great pain;Il est venu a moi l'Oeuf unique. \nIl sera l'héritage de mon Royaume. Et tous mes descendants seront liés à son destin. \nIl m'est très précieux, bien que je l'ai acquis avec souffrances.;;;;;;;;;;;;x
oeuf_herisson;Decorated egg;Oeuf décoré;;;;;;;;;;;;x
oeuf_herisson_desc;This egg is subtly decorated with fine and shimmering patterns. \nIt is said that there are several eggs of this kind throughout the World. \nThe legend also says that by catch' them all, one could glimpse the world differently.;Cet oeuf est subtilement décoré de motifs à la fois fins et chatoyants.\nOn dit qu'il existe plusieurs oeufs de la sorte à travers le Monde.\nLa légende dit qu'en les attrapant tous cela permettrait d'entrevoir le Monde différemment.;;;;;;;;;;;;x
#BOOKS;;x;;;;;;;;;;;;x
book_isnt_studied_yet;The book must have not been studied yet by his owner.\nOn inheritance, this artifact may be studied by his new owner.;Le livre ne doit pas avoir été déjà étudié par son propriétaire. \nLors de l'héritage, cet artefact pourra être à nouveau étudié par son nouveau possesseur.;;;;;;;;;;;;x
book_A;The life of a Saint;La vie d'un Saint;;;;;;;;;;;;x
book_A_desc;The life of a Saint, also "vita" is a book relating the life and the miracles of a christian Saint.;La vie d'un Saint, aussi appelé "vita" est un livre dans lequel sont relatés la vie et les miracles d'un Saint chrétien.;;;;;;;;;;;;x
book_B;Scholasticism treaty;Traité scolastique;;;;;;;;;;;;x
book_B_desc;Scholasticism aims at reconciling the contribution of Greek philosophy with theology. She's there philosophy developed and taught in universities.;La scolastique vise à concilier l'apport de la philosophie grecque avec la théologie. Elle est la philosophie développée et enseignée dans les universités.;;;;;;;;;;;;x
book_S;Praying book;Livre de prières;;;;;;;;;;;;x
book_S_desc;This small book contains many prayers and songs praising [From.GetRandomGodNameCap].;Ce livre, de petit format, contient nombre de prières et chants louant [From.GetRandomGodNameCap].;;;;;;;;;;;;x
book_C;Algebra treaty;Traité d'algèbre;;;;;;;;;;;;x
book_C_desc;The word "algebra" is derived from the title of an ancient Persian work, "The Compendious Book on Calculation by Completion and Balancing". This book had practical objectives: the calculation of inheritance, surveying, trade, etc.;Le mot "algèbre" est dérivé du titre d’un ouvrage perse ancien, "Abrégé du calcul par la restauration et la comparaison". Ce livre avait des objectifs pratiques : le calcul d’héritage, l'arpentage , les échanges commerciaux, etc.;;;;;;;;;;;;x
book_D;Astronomy treaty;Traité d'astronomie;;;;;;;;;;;;x
book_D_desc;Observation of the stars has always been a fascination of Men. \nThis book includes a star catalog and describes the uses of an astrolabe.;L'observation des astres est depuis toujours une fascination des Hommes. \nCet ouvrage comprend notamment un catalogue d'étoile et décrit des usages d'un astrolabe.;;;;;;;;;;;;x
book_E;Botanical treaty;Traité de botanique;;;;;;;;;;;;x
book_E_desc;This book looks at the study of plants and herbs. \nIt lists the uses and properties of plants, as remedies or poisons... ;Ce livre se penche sur l'étude des plantes et herbes. \nIl répertorie les usages et propriétés des plantes, en tant que remèdes ou poisons... ;;;;;;;;;;;;x
book_F;Illuminated bestiary;Bestiaire enluminé;;;;;;;;;;;;x
book_F_desc;This richly illustrated book lists animals by categorizing them into five categories: quadrupeds, birds, fish, snakes and worms.;Ce livre richement illustré répertorie les animaux en les catégorisant en 5 catégories : les quadrupèdes, les oiseaux, les poissons, les serpents et les vers. ;;;;;;;;;;;;x
book_G;al-Andalus poems;Poèmes d'al-Andalus;;;;;;;;;;;;x
book_G_desc;This book compiles many poems of al-Andalus. The craftsmen are, for example, Ibn Abd Rabbih, Abu ?mir Ibn Shuhayd or Ibn Khafadja. ;Cet ouvrage compile de nombreux de poèmes d'al-Andalus. \nLes artisans en sont par exemple Ibn Abd Rabbih, Ab? ?mir Ibn Shuhayd ou encore Ibn Khafadja. ;;;;;;;;;;;;x
book_H;Limousin rhymes;Poésies limousines;;;;;;;;;;;;x
book_H_desc;In this "Cansos de lemosin", one can find transcriptions in the language of oc are found works of troubadours such as Guilhem de Peitieus or Bernat de Ventadorn for the most famous of them. ;Dans ce "Cansos de lemosin", on trouve retranscription en langue d'oc des oeuvres de troubadours tels, pour les plus célèbres d'entre eux, Guilhem de Peitieus ou Bernat de Ventadorn. ;;;;;;;;;;;;x
book_I;Book of fables;Livre de contes;;;;;;;;;;;;x
book_I_desc;;Livre de contes;;;;;;;;;;;;x
book_J;Travel stories;Récits de voyages;;;;;;;;;;;;x
book_J_desc;;Récits de voyages;;;;;;;;;;;;x
book_K;Currency treaty;Traité sur les monnaies;;;;;;;;;;;;x
book_K_desc;;Traité sur les monnaies;;;;;;;;;;;;x
book_L;Trade guide;Un guide du commerce;;;;;;;;;;;;x
book_L_desc;;Un guide du commerce;;;;;;;;;;;;x
book_M;Accounting treaty;Traité de comptabilité;;;;;;;;;;;;x
book_M_desc;This boring book might soon see the shelf it is on as dusty as its pages!;Ce bouquin qui doit être d'un ennui à mourir devrait bientôt voir l'étagère qui l'accueille tout aussi poussiéreuse que ses pages !;;;;;;;;;;;;x
#UNIQUE BOOKS;;;;;;;;;;;;;;x
book_N;Precious psalter;Psautier précieux;;;;;;;;;;;;x
book_N_desc;;Psautier précieux;;;;;;;;;;;;x
book_O;Handwritten Quran;Coran manuscrit;;;;;;;;;;;;x
book_O_desc;;;;;;;;;;;;;;x
book_P;Kitâb al-jabr wa al-muqâbala;Kitâb al-jabr wa al-muqâbala;;;;;;;;;;;;x
book_P_desc;;Kitâb al-jabr wa al-muqâbala;;;;;;;;;;;;x
book_Q;Mirabilia;Mirabilia;;;;;;;;;;;;x
book_Q_desc;;Mirabilia, ou livre des Merveilles bla bla bla;;;;;;;;;;;;x
book_R;The Silk road;La route de la soie;;;;;;;;;;;;x
book_R_desc;;La route de la soie;;;;;;;;;;;;x
#RELIQUES;;x;;;;;;;;;;;;x
relique01;Saint Giles' Relic;Relique de Saint Gilles;;;;;;;;;;;;x
relique01_desc;;Une sandale de cuir desséché aurait été portée par Saint Gilles lors de son ascension de l'Escalier des Pénitents, où il rencontra la mort.;;;;;;;;;;;;x
relique02;Saint Aubert's Relic;Relique de Saint Aubert;;;;;;;;;;;;x
relique02_desc;;;;;;;;;;;;;;x
relique03;Saint Boniface's Relic;Relique de Saint Boniface;;;;;;;;;;;;x
relique03_desc;;;;;;;;;;;;;;x
relique04;Saint Landry's Relic;Relique de Saint Landry;;;;;;;;;;;;x
relique04_desc;;;;;;;;;;;;;;x
relique05;Saint Richarius' Relic;Relique de Saint Riquier;;;;;;;;;;;;x
relique05_desc;;;;;;;;;;;;;;x
relique06;Saint Merry's Relic;Relique de Saint Médéric;;;;;;;;;;;;x
relique06_desc;;;;;;;;;;;;;;x
relique07;Saint Fiacre's Relic;Relique de Saint Fiacre;;;;;;;;;;;;x
relique07_desc;;;;;;;;;;;;;;x
relique08;Saint Remy's Relic;Relique de Saint Rémy;;;;;;;;;;;;x
relique08_desc;;;;;;;;;;;;;;x
relique09;Saint Germain's Relic;Relique de Saint Germain;;;;;;;;;;;;x
relique09_desc;;;;;;;;;;;;;;x
relique10;Saint Arnoulf's Relic;Relique de Saint Arnould;;;;;;;;;;;;x
relique10_desc;;;;;;;;;;;;;;x
relique11;Saint Séverin's Relic;Relique de Saint Séverin;;;;;;;;;;;;x
relique11_desc;;;;;;;;;;;;;;x
relique12;Saint Honoratus' Relic;Relique de Saint Honorat;;;;;;;;;;;;x
relique12_desc;;;;;;;;;;;;;;x
relique13;Saint Blaise's Relic;Relique de Saint Blaise;;;;;;;;;;;;x
relique13_desc;;;;;;;;;;;;;;x
relique14;Saint Eliphe's Relic;Relique de Saint Eliphe;;;;;;;;;;;;x
relique14_desc;Martyr of Lorraine, he converted many pagans, which earned him a decapitation. His skull has remained hidden for many years before resurfacing.;Martyr de Lorraine, il a converti nombre de païens, ce qui lui a valu la décapitation. Son crâne est resté caché de nombreuses années avant de reparaître.;;;;;;;;;;;;x
relique15;Saint Hilarion's Relic;Relique de Saint Hilarion;;;;;;;;;;;;x
relique15_desc;The ring finger of the saint is preserved in a most thin crystal tube and closed on each side by a gelded cap and covered with many precious stones. As for what the special interest surrounding his finger, no one knows what makes it so special.;L'annulaire du Saint est conservé dans un tube de cristal des plus fins et fermé sur chaque côté par un opercule doré et orné de pierres précieuses. Quant à l'intérêt du doigt en soit, nul ne sait ce qui le rend si exceptionnel.;;;;;;;;;;;;x
relique16;Saint Siricius' Relic;Relique de Saint Sirice;;;;;;;;;;;;x
relique16_desc;;;;;;;;;;;;;;x
relique17;Saint Aude's Relic;Relique de Sainte Aude;;;;;;;;;;;;x
relique17_desc;This thigh bone is well beautiful I must say, the size of which make us believe that the Blessed had mighty long and smooth legs ...;Ce fémur est un bien bel os il faut dire, dont la taille laisse à croire que la Sainte avait de sacrément longues et douces jambes...;;;;;;;;;;;;x
relique18;Saint Sabina's Relic;Relique de Sainte Sabine;;;;;;;;;;;;x
relique18_desc;;;;;;;;;;;;;;x
relique19;Saint Genevieve's Relic;Relique de Sainte Geneviève;;;;;;;;;;;;x
relique19_desc;;;;;;;;;;;;;;x
relique20;Saint Fara's Relic;Relique de Sainte Fare;;;;;;;;;;;;x
relique20_desc;The eyeball of this blind miracle, floating gently in a divine liquid in its bowl is, they say, a sight as sharp as the Almighty himself. Many people believe he can restore sight.;Le globe oculaire de cette aveugle miraculée, flottant gentiment dans un liquide divin dans son bocal a, dit-on, le regard aussi perçant que le tout-puissant lui-même. Nombreux sont ceux à croire qu'il peut rendre la vue.;;;;;;;;;;;;x
relique21;Saint Onenne's Relic;Relique de Sainte Onenne;;;;;;;;;;;;x
relique21_desc;This saint of Breton origin and linked to the Christianization of the region is often associated with the goose because of his name. Concisely bound goose feathers are evidence behind this holy relic.;Cette sainte d'origine bretonne et liée à la christianisation de sa région et son nom est souvent associée à l'oie. C'est justement des plumes d'oie enliassées qui constituent cette sainte relique.;;;;;;;;;;;;x
relique22;Saint Matilda Relic;Relique de Sainte Mathilde;;;;;;;;;;;;x
relique22_desc;;;;;;;;;;;;;;x
relique23;Saint Sylvie's Relic;Relique de Sainte Sylvie;;;;;;;;;;;;x
relique23_desc;;;;;;;;;;;;;;x
relique24;Saint Brigitte's Relic;Relique de Sainte Brigitte;;;;;;;;;;;;x
relique24_desc;;;;;;;;;;;;;;x
relique25;Saint Odile's Relic;Relique de Sainte Odile;;;;;;;;;;;;x
