CODE;ENGLISH;FRENCH;;;;;;;;;;;;x;
#;;x;;;;;;;;;;;;x;
#BATIMENTS;;x;;;;;;;;;;;;x;
#;;x;;;;;;;;;;;;x;
#-Château-;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x;
#;;BATIMENTS XYLO;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
CA_chasse_L1;Hunting Lodge;Loge de Chasse;;;;;;;;;;;;x
CA_chasse_L1_desc;A small but comfortable cabin in the woods to which one may retire and rest throughout the many days of hunting customary for the nobility.;Il s'agit ici d'une grande cabane en bois permettant de s'abriter et de se retrouver lors de campagnes de chasse qui durent quelques jours.;;;;;;;;;;;;x
CA_chasse_L2;Hunting Manor;Logis de Chasse;;;;;;;;;;;;x
CA_chasse_L2_desc;This modest manor in the woods offers all of the comforts and accomodations worthy of a lord. It also has the advantage of being removed from the intrigues of the court.;Ce refuge offre un plus grand confort et une capacité d'hébergement plus importante. Il a l'avantage aussi d'être à l'abri des regards indiscrets de la cour...;;;;;;;;;;;;x
CA_chasse_L3;Hunting Mansion;Manoir de Chasse;;;;;;;;;;;;x
CA_chasse_L3_desc;This luxurious mansion hidden away in the seigniorial forests has all the airs of a small castle, able to extravagantly receive and accommodate a large hunting party for many days.;Avec ces airs de maison forte, cet pied-à-terre forestier offre tout le confort d'un château pour donner des banquets et recevoir nos hôtes de marque lors de longues parties de chasse.;;;;;;;;;;;;x
TP_herboriste_L1;Herbalist's Quarters;Herboriste;;;;;;;;;;;;x
TP_herboriste_L1_desc;The old herbalist who has taken up residence here can regularly be seen wandering the forest searching for medicinal herbs. His skills and knowledge prove most useful in times of illness.;L'herboriste récolte dans les alentours et cultive des plantes médicinales. Un savoir fort apprécié et des plus utiles quand la maladie survient.;;;;;;;;;;;;x
TP_herboriste_L2;Apothecary;Apothicaire;;;;;;;;;;;;x
TP_herboriste_L2_desc;The local apothecary is home to a cornucopia of elixirs, herbs, and powders ready to be made into valuable cures for a plethora of illnesses and disease. The people feel protected and reassured by the presence of an verified apothecary in the province.;L'Apothicaire fabrique toute sorte de soins et remèdes tant pour soigner des infections que des blessures. Sa présence dans cette contrée rassure et protège la populace.;;;;;;;;;;;;x
TP_oratoire_sylvestre;Sylvan Oratory;Oratoire Sylvestre;;;;;;;;;;;;x
TP_oratoire_sylvestre_desc;This place of solitude hidden deep in the woods allows passing pilgrims and the resident hermit a space to contemplate the glory of the Almighty in nature as well as pray for the salvation of one's soul.;Ce lieu de culte perdu au milieu de la sérénité des bois sert de lieu de prière et de recueillement pour les pélérins de passage par chez nous ou les pécheurs en quête d'apaisement pour leur âme.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;BATIMENTS BANDITS;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
REPAIREVOLEUR;Bandit Lair;REPAIRE DE BRIGANDS;;;;;;;;;;;;x
REPAIREVOLEUR_desc;;Les bandits de cette province sont suffisamment bien implantés et organisés et ont même contruit un repaire aux yeux de tous. Intolérable !;;;;;;;;;;;;x
repaire_voleur_L1;Bandit Lair;Cache de brigands ;;;;;;;;;;;;x
repaire_voleur_L1_desc;This hidden lair allows the local bandits to store their borrowed gold from the local lord and generous merchants passing through.;Cette cache permet d'entreposer les résultats des forfaiteries commises par les gredins. ;;;;;;;;;;;;x
repaire_voleur_L2;Thieves' Den;Repaire de brigands;;;;;;;;;;;;x
repaire_voleur_L2_desc;This veritable den of thieves is nigh undetectable, but the threat posed by it is far from unnoticeable.;La cache a disparu et perdu de sa clandestinité pour laisser place à un endroit qu'il est impossible d'ignorer. Le pire est à craindre.;;;;;;;;;;;;x
repaire_voleur_L3;Brigand Sanctuary;Maison forte de brigands;;;;;;;;;;;;x
repaire_voleur_L3_desc;The lack of an adequate response to the rise of banditry in this province has led to the development of an extensive sanctuary for outlaws and thieves operating outside of the law. Displacing them will be an arduous task to say the least.;L'expansion du banditisme dans la province a permis d'étendre et fortifier plus stratégiquement le repaire. Déloger ces occupants rique de s'avérer ardu...;;;;;;;;;;;;x
repaire_voleur_L4;Thieves' Guild;Guilde de brigands;;;;;;;;;;;;x
repaire_voleur_L4_desc;The paralyzing weakness of the local lord has led to the large-scale infiltration of organized crime into provincial commerce. The loss of revenues to these unscrupulous and dangerous characters is a plague upon local industry and central authority.;Au vu et au su de tous, c'est un rassemblement corporatif qui s'étale maintenant. Les coffres remplis de denrées et autres butins rapinés débordent.;;;;;;;;;;;;x
repaire_voleur_L5;Bandit Fortress;Fortin de brigands;;;;;;;;;;;;x
repaire_voleur_L5_desc;No longer fearing any sort of reprisal, the bandits have constructed an impressive fort exerting their control over the locals. The bandits have even gone as far as to elect a "king" to hold a farcical "court" with his scrupulous and unruly subjects.;Le mélange parfait entre lieu de stockage et place défensive. Un trône volé y accueille le chef de la bande qui y mène sa "cour" singeant par là même les nobles détroussés.;;;;;;;;;;;;x
#fort_brigands_L1;;Palissade;;;;;;;;;;;;x
#fort_brigands_L1_desc;;Cette ligne de pieux plantés verticalement est parfaite pour stopper des petites attaques surprises.;;;;;;;;;;;;x
#fort_brigands_L2;;Rideau de pierre;;;;;;;;;;;;x
#fort_brigands_L2_desc;Le bois a laissé place à la pierre et donne aux malandrins un sentiment de sécurité confortable.;;;;;;;;;;;;;x
#fort_brigands_L3;;Hauts murs;;;;;;;;;;;;x
#fort_brigands_L3_desc;;Qui oserait maintenant partir à l'assaut de tels murs où patrouillent des coquins sûrs de leur invincibilité.;;;;;;;;;;;;x
caserne_brigands_L1;Arms Cache;Abri des malandrins;;;;;;;;;;;;x
caserne_brigands_L1_desc;Stolen arms are stored here and distributed to new recruits, resulting in a more dangerous highwaymen capable of holding ground against the local patrols.;C'est ici que se reposent et s'entraînent les ennemis de la justice seigneuriale.;;;;;;;;;;;;x
caserne_brigands_L2;Brigand Armory;Gîte des malandrins;;;;;;;;;;;;x
caserne_brigands_L2_desc;A crudely constructed building where most of the bandits' arms are stored and maintained.;Un lieu où sont posées les paillasses et les armes des brigands.;;;;;;;;;;;;x
caserne_brigands_L3;Brigand Barracks;Caserne des malandrins;;;;;;;;;;;;x
