#;;x;;;;;;;;;;;;x
#;;DECISIONS;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
prospect;Prospect;Prospecter;;;;;;;;;;;;x
prospect_desc;One of our demesne province mines have very few ore available left to extract.\nWe can decide to search for new veins.;Les mines d'une de nos provinces n'a plus beaucoup de minerai à extraire.\nNous pouvons décider de prospecter pour découvrir de nouveaux filons à exploiter.;;;;;;;;;;;;x
prospectTooltip;Our people will prospect for a year in search of new veins.;Nos gens vont prospecter pendant une année à la recherche de nouveaux filons.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
construire_cathedrale;Build a cathedral;Construire une Cathédrale;;;;;;;;;;;;x
construire_cathedrale_desc;Let's begin this cathedral !;Lancer le chantier de notre cathédrale !;;;;;;;;;;;;x
TOOLTIPCONSTRUIRECATHEDRALE;Beginning of the construction;Début de la construction;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;
borrow_money_jews_cd;Borrow 75¤ from Jewish Merchants;Emprunter 75¤ aux usuriers juifs;;;;;;;;;;;;x
borrow_money_jews_cd_desc;I can borrow 75¤ from Jewish merchants and moneylenders living in the realm. With the interest agreed upon, I will owe them 110¤ to be paid back at my convenience.;Il est possible d'emprunter 75¤ aux usuriers juifs du royaume.\nAu taux d'intérêt convenu, nous devrons leur rembourser 110¤, payable quand nous le voudrons.;;;;;;;;;;;;x
repay_money_jews_cd;Repay the 110¤ loan;Rembourser notre dette de 110¤;;;;;;;;;;;;x
repay_money_jews_cd_desc;I will repay the gold that I owe the Jewish moneylenders.;Il nous est possible de rembourser la somme que nous devons aux usuriers juifs.;;;;;;;;;;;;x
borrow_money_jews_dk;Borrow 150¤ from Jewish Merchants;Emprunter 150¤ aux usuriers juifs;;;;;;;;;;;;x
borrow_money_jews_dk_desc;I can borrow 150¤ from Jewish merchants and moneylenders living in the realm. With the interest agreed upon, I will owe them 225¤ to be paid back at my convenience.;Il est possible d'emprunter 150¤ aux usuriers juifs du royaume.\nAu taux d'intérêt convenu, nous devrons leur rembourser 225¤, payable quand nous le voudrons.;;;;;;;;;;;;x
repay_money_jews_dk;Repay the 225¤ loan;Rembourser notre dette de 225¤;;;;;;;;;;;;x
repay_money_jews_dk_desc;I will repay the gold that I owe the Jewish moneylenders.;Il nous est possible de rembourser la somme que nous devons aux usuriers juifs.;;;;;;;;;;;;x
borrow_money_jews_ke;Borrow 300¤ from Jewish Merchants;Emprunter 300¤ aux usuriers juifs;;;;;;;;;;;;x
borrow_money_jews_ke_desc;I can borrow 300¤ from Jewish merchants and moneylenders living in the realm. With the interest agreed upon, I will owe them 350¤ to be paid back at my convenience.;Il est possible d'emprunter 300¤ aux usuriers juifs du royaume.\nAu taux d'intérêt convenu, nous devrons leur rembourser 350¤, payable quand nous le voudrons.;;;;;;;;;;;;x
repay_money_jews_ke;Repay the 350¤ loan;Rembourser notre dette de 350¤;;;;;;;;;;;;x
repay_money_jews_ke_desc;I will repay the gold that I owe the Jewish moneylenders.;Il nous est possible de rembourser la somme que nous devons aux usuriers juifs.;;;;;;;;;;;;x
borrowed_from_jews;Owes to Jewish Moneylenders;Dette envers les usuriers juifs;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;
L3T.0013;Monastic retirement;Retraite Monastique;;;;;;;;;;;;x
NAMEL3T.0013;Monastic retirement;Retraite monastique;;;;;;;;;;;;x
DESCL3T.0013;After years of ruling, [Root.GetTitledFirstName] has decided that [Root.GetSheHe] is no longer fit to rule and as such decided to abdicate in favour of [Root.GetHerHis] heir, while [Root.GetSheHe] [Root.GetHerselfHimself] will retire into a monastry.;Epuisé par des années de règne, [Root.GetTitledFirstName] a décidé qu'il était temps de laisser la main à son héritier et de rejoindre un monastère pour dédier le reste de sa vie à Dieu, hors des contraintes du Monde.;;;;;;;;;;;;
L3T.0013A;Deo gratias !;Deo gratias !;;;;;;;;;;;;x
abdiquer;Retire to a monastery;Se retirer dans un Monastère;;;;;;;;;;;;
abdiquer_desc;I have grown very much past my prime. It is time for the next generation to rule while I retire in a peacefull monastery.;J'ai fait mon temps. Ce monastère que j'ai fondé il y a quelques années sera un havre parfait pour mes vieux jours.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;AMBITIONS;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
obj_build_something_title;Build a monument;Construire un Monument ;;;;;;;;;;;;x
obj_build_something_desc;This character wants to let his print in History by building something big and hopefully eternal.;Ce personnage a pour ambition de laisser une empreinte durable dans l'Histoire par ses réalisations à la fois solides et monumentales.;;;;;;;;;;;;x
build_something_reussite;The caracter must have achieved a major construction or a step of it.;Le personnage doit avoir achevé une construction majeure ou une étape de celle-ci.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
