#;;x;;;;;;;;;;;;x
#;;DIVERS;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
nobuilding;Never (built by event);JAMAIS Constructible;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;ReC;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
ca_cathedrale_lite_01;Saint Giles' Cathedral;Cathédrale Saint Gilles;;;;;;;;;;;;x
ca_cathedrale_lite_02;Saint Aubert Cathedral;Cathédrale Saint Aubert;;;;;;;;;;;;x
ca_cathedrale_lite_03;Saint Boniface Cathedral;Cathédrale Saint Boniface;;;;;;;;;;;;x
ca_cathedrale_lite_04;Saint Landry Cathedral;Cathédrale Saint Landry;;;;;;;;;;;;x
ca_cathedrale_lite_05;Saint Richarius' Cathedral;Cathédrale Saint Riquier;;;;;;;;;;;;x
ca_cathedrale_lite_06;Saint Merry Cathedral;Cathédrale Saint Médéric;;;;;;;;;;;;x
ca_cathedrale_lite_07;Saint Fiacre Cathedral;Cathédrale Saint Fiacre;;;;;;;;;;;;x
ca_cathedrale_lite_08;Saint Remy Cathedral;Cathédrale Saint Rémy;;;;;;;;;;;;x
ca_cathedrale_lite_09;Saint Germain Cathedral;Cathédrale Saint Germain;;;;;;;;;;;;x
ca_cathedrale_lite_10;Saint Arnulf Cathedral;Cathédrale Saint Arnould;;;;;;;;;;;;x
ca_cathedrale_lite_11;Saint Séverin Cathedral;Cathédrale Saint Séverin;;;;;;;;;;;;x
ca_cathedrale_lite_12;Saint Honoratus Cathedral;Cathédrale Saint Honorat;;;;;;;;;;;;x
ca_cathedrale_lite_13;Saint Blaise Cathedral;Cathédrale Saint Blaise;;;;;;;;;;;;x
ca_cathedrale_lite_14;Saint Eliphius Cathedral;Cathédrale Saint Eliphe;;;;;;;;;;;;x
ca_cathedrale_lite_15;Saint Hilarion Cathedral;Cathédrale Saint Hilarion;;;;;;;;;;;;x
ca_cathedrale_lite_16;Saint Siricius Cathedral;Cathédrale Saint Sirice;;;;;;;;;;;;x
ca_cathedrale_lite_17;Saint Aude Cathedral;Cathédrale Sainte Aude;;;;;;;;;;;;x
ca_cathedrale_lite_18;Saint Sabina Cathedral;Cathédrale Sainte Sabine;;;;;;;;;;;;x
ca_cathedrale_lite_19;Saint Genevieve Cathedral;Cathédrale Sainte Geneviève;;;;;;;;;;;;x
ca_cathedrale_lite_20;Saint Fara Cathedral;Cathédrale Sainte Fare;;;;;;;;;;;;x
ca_cathedrale_lite_21;Saint Onenne Cathedral;Cathédrale Sainte Onenne;;;;;;;;;;;;x
ca_cathedrale_lite_22;Saint Matilda Cathedral;Cathédrale Sainte Mathilde;;;;;;;;;;;;x
ca_cathedrale_lite_23;Saint Sylvie Cathedral;Cathédrale Sainte Sylvie;;;;;;;;;;;;x
ca_cathedrale_lite_24;Saint Brigitte Cathedral;Cathédrale Sainte Brigitte;;;;;;;;;;;;x
ca_cathedrale_lite_25;Saint Odile Cathedral;Cathédrale Sainte Odile;;;;;;;;;;;;x
cathedrale_lite_desc;The cathedral's construction has been completed at last! ~Its shining marble edifice and intricate craftsmanship tower over the city, offering the populace a glimpse of Heaven. Pilgrims and sinners from far and wide flock here in droves, generously giving alms in hopes of salvation and gaining favor with God.;Cette cathédrale est enfin parachevée et fait rayonner la toute puissance divine sur les terres environnantes et par la même occasion procure au seigneur local la gloire et le fruit de la taxation du détenteur d'un tel édifice où affluent pélerins et pécheurs en quête de salut.;;;;;;;;;;;;x
