#;;x;;;;;;;;;;;;x
#;;MINOR TITLES;;;;;;;;;;;;x
#title_parlier;Parlier;Parlier;;;;;;;;;;;;x
#title_parlier_desc;The construction of a cathedral attracts workers from throughout the Western world, but not all share the same language. This is where the Parlier comes in, who coordinates everyone's skills to ensure the smooth running of the site. This makes him an essential character to carry out such a project.;Le chantier d'une cathédrale attire des ouvriers de tout le monde occidental mais tous ne partagent donc pas la même langue. C'est là qu'intervient le Parlier, qui se charge de coordonner les compétences de chacun pour assurer le bon déroulement du chantier. Cela en fait donc un personnage incontournable pour mener à bien un tel projet.;;;;;;;;;;;;x
title_batisseur;Builder Master;Maître Bâtisseur;;;;;;;;;;;;x
title_batisseur_desc;The Builder Master is the director and foreman of the construction project. He performs all the tasks of design, logistics, recruitment... and more! Needless to say, he is indispensable if you ever want to see your construction finished...;C'est lui qui dirige le chantier. Il assure toutes les missions de conception, d'approvisionnement, de logistique, recrute les ouvriers...entre autres ! Inutile de dire combien il est indispensable si vous voulez un jour voir votre chantier aboutir.;;;;;;;;;;;;x
#title_batisseur_desc;;C'est lui qui dirige l'exécution du chantier. Il assure les missions d'approvisionnement, de logistique, décide du déroulement du chantier, recrute les ouvriers...entre autres ! Inutile de dire combien il est indispensable si vous voulez un jour voir les murs de votre cathédrale dépasser une toise sans s'écrouler.;;;;;;;;;;;;x
#title_architecte;Architect;Architecte;;;;;;;;;;;;x
#title_architecte_desc;He is the brains behind the project, he draws the plans, decides on the pace and style of the building and of course extends us some of megalomaniac delusions and artistic handwork... but we still need him!;Il est la tête pensante du projet, il dessine les plans, décide de l'allure et du style de l'édifice et auteur de bien entendu de quelques délires mégalo-artistiques... mais on a quand même besoin de lui !;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
title_forestier;Forester;Forestier;;;;;;;;;;;;x
title_forestier_desc;The hideous leather boots and characteristic aromas of earth and dead leaves are definitely not the makings of a man of the court.\nHowever, they are sure signs of an experienced woodsman capable properly managing the woodlands of our domain.;Ces hideuses bottes de cuir et son fumet caractéristique de terre et de feuilles mortes n'en font définitivement pas un homme de la cour.\nCependant, c'est sur lui que repose la gestion de nos domaines boisés. Il a également charge de relayer notre autorité sur ces territoires.;;;;;;;;;;;;x
title_veneur;Great Master of the Hunt;Grand Veneur;Jägermeister;;Maestro de caza;;;;;;;;;x
title_veneur_desc;The holder of this office is a professional and passionate hunter, making a very valuable hunting companion but not a very experienced courtier.;L'homme en charge de cet office est un professionnel et passioné de la chasse, pas foncièrement un homme de cour mais un très appréciable compagnon pour de longues parties de chasse.;;;;;;;;;;;;x
title_soigneur;Court Physician;Soigneur de la cour;;;;;;;;;;;;x
