#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;PROVINCE MODIFIERS;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
redevance_banale;Feudal Tenure;Redevance Banale;;;;;;;;;;;;x
redevance_banale_desc;The peasants here are required to to pay dues in exchange for use of to the local lord's facilities. If only one could also oblige them to use strictly only these facilities and no others... ;En échange de l'accès aux installations seigneuriales, les paysans étaient taxés. Si l'on ajoute à cela qu'ils étaient dans l'obligation d'utiliser celles-ci et aucune autre... ;;;;;;;;;;;;x

great_pass;Major pass;Col Majeur;;;;;;;;;;;;x
great_pass_desc;This pass is a key to control the trade and borders throughout the mountains.;Ce col est un des passages clé à travers les montagnes. S'en assurer le contrôle représente un avantage financier et stratégique non négligeable.;;;;;;;;;;;;;x
minor_pass;Minor pass;Col Mineur;;;;;;;;;;;;x
minor_pass_desc;This passage through the mountains offers some advantages despite being secondary.;Ce col, bien que d'importance moindre procure néanmoins quelques avantages non sans intérêts.;;;;;;;;;;;;x

foret_up;Forest demesne;Domaine forestier;;;;;;;;;;;;x
foret_up_desc;We have augmented our woodland holdings through a series of strategic acquisitions and can now profit even more greatly from these lands.;Grâce à notre politique d'acquisitions, nous avons agrandit nos domaines boisés et nous pouvons à présent en tirer encore davantage de profits.;;;;;;;;;;;;x
loi_forestiere_L1;Forest Licence;Licence Forestière;;;;;;;;;;;;x
loi_forestiere_L1_desc;The granting of forest licenses bestows upon the holder the following rights and restrictions: \n-Right to Pasture: a small tax for the privilege of feeding swine in said woods \n-Right of Passage: the right to pass through the area of the forest accompanied by hounds provided that their claws have been clipped \n-Hunting is strictly §Rforbidden§! \n-Deforestation is strictly §Rforbidden§!;Par la promulgation de la présente, j'édicte les règles suivantes : \n-droit de pâture : agistment et pannage des porcs \n-se déplacer librement accompagné de chiens à condition qu'ils aient été privés de leur griffes pour ne point chasser \n-toute chasse est INTERDITE \n-la déforestation est INTERDITE;;;;;;;;;;;;x
loi_forestiere_L2;Forest Charter;Charte Forestière;;;;;;;;;;;;x
loi_forestiere_L2_desc;The granting of forest charters bestows upon the holder the following rights and restrictions: \n-Right of Pasture: a small tax for the privilege of feeding swine in said woods \n-Right of Passage: the right to pass through the area of the forest accompanied by hounds provided that their claws have been clipped \n-The right to hunt small game, such as rabbits, hares, and foxes \n-The right to harvest kindling \n-Deforestation is strictly §Rforbidden§!;Par la promulgation de la présente, j'édicte les règles suivantes : \n-droit de pâture : agistment et pannage des porcs \n-est autorisée la chasse du petit gibier nuisible : lapin, lièvre et renard \n-le prélèvement de petit bois est autorisé \n-la coupe d'arbres est INTERDITE;;;;;;;;;;;;x
foret_hantee;Haunted Forest;Forêt Hantée !;;;;;;;;;;;;x
foret_hantee_desc;This forest is rumored to be haunted!;Forêt Hantée !;;;;;;;;;;;;x
foret_maudite;Cursed Forest;Forêt Maudite !;;;;;;;;;;;;x
foret_maudite_desc;This forest is rumored to be cursed!;Forêt Maudite !;;;;;;;;;;;;x
foret_malfamee;Bandit Lair;Nid de Bandits;;;;;;;;;;;;x
foret_malfamee_desc;A lair of unscrupulous bandits plague this forest.;Nid de Bandits;;;;;;;;;;;;x
foret_braconnage;Poaching;Braconnage;;;;;;;;;;;;x
foret_braconnage_desc;Poachers are braving the local lord authority here by violating the hunt restrictions.\nSuch troubles agitate population and disturb the collect of taxes.;Des braconniers sont à l'oeuvre et défient l'autorité seigneuriale en violant les restrictions de chasse. \nDe tels troubles agitent la population et perturbent la perception de l'impôt.;;;;;;;;;;;;x
justice_rendue_prov;Justice brought;Justice rendue;;;;;;;;;;;;x
justice_rendue_prov_desc;The local lord brought justice and order back in the province.;Le seigneur local a fait respecter la justice et rétabli l'ordre dans la province.;;;;;;;;;;;;x
justice_rendue_char;Brought Justice;A rendu la Justice;;;;;;;;;;;;x
justice_rendue_char_desc;This character made the law applied and brought justice.;Ce personnage a fait appliquer la loi et rendu justice.;;;;;;;;;;;;x

#relique_pour_jaloux;Forged relic;Relique falsifiée;;;;;;;;;;;;x
#relique_pour_jaloux_desc;A relic falasified by an individual itching to construct a cathedral;Une relique falsifiée par quelqu'un d'envieux pour construire une cathédrale;;;;;;;;;;;;x
relique_fort_douteuse;Doubtful relic;Relique fort douteuse;;;;;;;;;;;;x
