#;;x;;;;;;;;;;;;x
#;;MODIFICATEURS RELIGIEUX;;;;;;;;;;;;x
achat_indulgence;Received Indulgences;Indulgences perçues;;;;;;;;;;;;x
achat_indulgence_refuse;Refused Indulgences;Indulgences refusées;;;;;;;;;;;;x
rachat_excommunion;Priced repentance;Repentance tarifée;;;;;;;;;;;;x
#rachat_excommunion_desc;;Le Pape a levé une excommunication contre versement d'une somme d'argent... pas très catholique tout ça !;;;;;;;;;;;;x
don_foret;Forests donations;Don de terres forestières;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;RELIGIOUS DEATH;;;;;;;;;;;;x
#MARTYRIS;;x;;;;;;;;;;;;x
DEATH_DEUS_MARTYRIS_BURNT;perished as a martyr burnt on the stack on the order of $KILLER$;a péri en martyr[Get_E] brûlé[Get_E] sur le bûcher de $KILLER$;;;;;;;;;;;;x
DEATH_DEUS_MARTYRIS_WHIPPED;perished as a martyr whipped to death on the order of $KILLER$;a péri en martyr[Get_E] sous le cuir du fouet de $KILLER$;;;;;;;;;;;;x
DEATH_DEUS_MARTYRIS_LAPIDATION;perished as a martyr stoned to death on the order of $KILLER$;a péri en martyr[Get_E] par lapidation selon la volonté de $KILLER$;;;;;;;;;;;;x
DEATH_DEUS_MARTYRIS_CRUCIFIED;was crucified on the order of $KILLER$;est mort[Get_E] crucifié[Get_E] sur ordre de $KILLER$;;;;;;;;;;;;x
DEATH_DEUS_MARTYRIS_HUNG;perished as a martyr by $KILLER$'s rope;a péri en martyr[Get_E] au bout de la corde accrochée par $KILLER$;;;;;;;;;;;;x
DEATH_DEUS_MARTYRIS_BEHEADED;perished as a martyr beheaded by the will of $KILLER$;a péri en martyr[Get_E] décapité[Get_E] comme l'a voulu $KILLER$;;;;;;;;;;;;x
	
