#;;x;;;;;;;;;;;;x
REC.0151;Confirmation relique;;;;;;;;;;;;;x
DESCREC.0151;;On nous a rapporté que la province de [From.Location.GetName] abrite une Sainte Relique répertoriée par l'Eglise Catholique. Cet objet revêt une grande importance pour les fidèles de cette religion. Elle peut faire l'objet d'un culte particulier voire donner lieu à des pélérinages.;;;;;;;;;;;;;x
REC.0151A;Hallelujah!;Hallelujah ! ;;;;;;;;;;;;x
REC.0151B;This could be interesting...;Cela peut avoir son intérêt...;;;;;;;;;;;;x
REC.0151C;OK;D'accord;;;;;;;;;;;;x
REC.0175;Fausse relique;;;;;;;;;;;;;x
DESCREC.0175;La relique récemment découverte dans un monastère isolé de [From.Location.GetName] s'est avérée ne pas être authentique. C'est assez dommageable car en ces temps troublés, un signe du Seigneur aurait été le bienvenu.;La relique récemment découverte dans un monastère isolé de [From.Location.GetName] s'est avérée ne pas être authentique. C'est assez dommageable car en ces temps troublés, un signe du Seigneur aurait été le bienvenu.;;;;;;;;;;;;x
REC.0175A;From what this letter says, it is a vile counterfeit...;Une immonde contrefaçon d'après ce document...;;;;;;;;;;;;x
REC.0175B;It is maybe not so necessary to spread the news...;Nul besoin de répandre la nouvelle peut-être...;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
REC.0301;Recruit a Parlier;Recruter un Parlier;;;;;;;;;;;;x
DESCREC.0301;The construction of the Cathedral requires hiring a Parlier. Fortunately, knowing your very busy, we have drawn some candidates for you to hold this office.;Le chantier de la Cathédrale requiert d'engager un Maître Bâtisseur. Heureusement, vous sachant très occupé, nous avons quelques candidats à vous proposer pour tenir cet office.;;;;;;;;;;;;x
REC.0301A;Nay, I prefer to choose myself.;Non, je préfère le choisir moi même.;;;;;;;;;;;;x
REC.0301B;Take the first comer, he'll cost less.;Prenez le premier venu, il coûtera moins cher.;;;;;;;;;;;;x
REC.0301C;Yes but keep a management profile;Oui mais avec un profil de gestionnaire;;;;;;;;;;;;x
REC.0301D;Hire us a gifted negotiator;Recrutons un négociateur doué;;;;;;;;;;;;x
REC.0301E;We want ourselves a construction genius;Nous voulons un génie de la construction;;;;;;;;;;;;x
recrutement_profil_sans;A new courtier without pretensions appears at your court. Without pretended or real skills mind you.;Un nouveau courtisan sans prétention apparaît à votre cour. Sans prétention ni vraies compétences par ailleurs.;;;;;;;;;;;;x
recrutement_profil_intendance;A new courtier appears on your court to assume the function of §YMaître bâtisseur§!.\nHis specialization in §Ygestionnaire§! has led him to pay more attention to logistics, procurement and the recruitment of artisans and artists.;Un nouveau courtisan apparait à votre cour pour assumer la fonction de §YMaître bâtisseur§!.\nSa spécialisation de §Ygestionnaire§! le conduit à porter davantage d'attention à la logistique, les approvisionnement et le recrutement des artisans et artistes.;;;;;;;;;;;;x
recrutement_profil_diplomatie;A new courtier appears on your court to assume the function of §YMaître bâtisseur§!.\nHis skills as a §Ynégociateur§! permits him to coordinate the skills of others, regardless of differing languages and characteristics.;Un nouveau courtisan apparait à votre cour pour assumer la fonction de §YMaître bâtisseur§!.\nSon profil de §Ynégociateur§! lui permettra de coordonner les compétences des ouvriers, malgré leurs différences de langues et leurs caractères.;;;;;;;;;;;;x
recrutement_profil_erudition;A new courtier appears on your court to assume the function of §YMaître bâtisseur§!.\nthe §Yérudit§! Will Be the brains behind the project, he draws the plans, decides on the pace and stylists of the building and will probably author a few megalo-artistic deviations;Un nouveau courtisan apparait à votre cour pour assumer la fonction de §YMaître bâtisseur§!.\nCet §Yérudit§! sera la tête pensante du projet, il dessine les plans, décide de l'allure et du style de l'édifice et auteur de probablement de quelques délires mégalo-artistiques;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
REC.0201;Work in progress;Chantier en cours;;;;;;;;;;;;x
DESCREC.0201;The Cathedral project in the province of [From.Location.GetName] has started.\nLa construction of such a monument, if carried to completion, will mark our century for future generations.;Le projet de Cathédrale dans la province de [From.Location.GetName] se concrétise.\nLa construction d'un tel monument, si elle est menée à son terme, marquera notre siècle et les générations futures.;;;;;;;;;;;;x
REC.0201A;Let the journey begin!;Que l'aventure commence !;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
REC.0202;Foundations complete;Achèvement Fondations;;;;;;;;;;;;x
DESCREC.0202;All the foundations of the cathedral are in place and the crypt to house the reliquary.;L'ensemble des fondations de la cathédrale est en place ainsi que la crypte qui accueillera le reliquaire.;;;;;;;;;;;;x
REC.0202A;Much remains to be done.;Il reste encore beaucoup à faire.;;;;;;;;;;;;x
REC.0203;Proto-Cathedral Completed;Achèvement Proto-Cathédrale;;;;;;;;;;;;x
DESCREC.0203;The entire temporary building is in place. The cathedral can accommodate the faithful. It's already a success. Will content yourself with just a modest achievement?;L'ensemble du bâtiment temporaire est en place. La cathédrale peut accueillir les fidèles. C'est déjà une belle réussite. Vous contenterez vous juste d'une si modeste réalisation ?;;;;;;;;;;;;x
REC.0203A;Praise the Lord!;Gloire au Seigneur !;;;;;;;;;;;;x
REC.0204;Portal Complete;Achèvement Portail;;;;;;;;;;;;x
DESCREC.0204;The Grand Portal, opening facing the west, bears all its magnificence by glowing golden in the dusk. A superb achievement.;Le Grand Portail, s'ouvrant face au couchant, arbore toute sa magnificence en se parant d'or au crépuscule. Une superbe réalisation.;;;;;;;;;;;;x
REC.0204A;All credit goes to me!;Tout le mérite me revient !;;;;;;;;;;;;x
REC.0204B;I am the artisan of the will of God;Je ne suis qu'un artisan de la volonté de Dieu;;;;;;;;;;;;x
REC.0205;Nave most magnificent and most complete;Achèvement Nef Magnifique;;;;;;;;;;;;x
DESCREC.0205;The immense vault of the nave is an architectural feat and the windows at each opening are magnificent .;L'immense voûte de la Nef est une prouesse architecturale et les vitraux qui en parent chaque ouverture sont magnifiques.;;;;;;;;;;;;x
REC.0205A;Am I entitled to a reward?;Ai-je droit à une récompense ?;;;;;;;;;;;;x
REC.0205B;Dazzling!;Eblouissant !;;;;;;;;;;;;x
REC.0206;Transept Complete;Achèvement Transept;;;;;;;;;;;;x
DESCREC.0206;The addition of the transept is now complete and it is still adding to superb feeling of the edifice.;L'ajout du Transept est à présent achevé et ne fait qu'ajouter encore à la superbe de l'édifice.;;;;;;;;;;;;x
REC.0206A;I told you it was a good idea!;Je vous avait dit que c'était une bonne idée !;;;;;;;;;;;;x
REC.0206B;I have no words for this;J'en reste bouche bée...;;;;;;;;;;;;x
REC.0207;North Tower Complete;Achèvement Tour Nord;;;;;;;;;;;;x
DESCREC.0207;The construction of the first tower seemed indeterminable as there is hardly a point where it meets the sky.;La construction de cette première Tour a semblé aussi interminable que l'on distingue à peine le point où elle rencontre le ciel.;;;;;;;;;;;;x
REC.0207A;The wait was worth it.;L'attente en valait la peine.;;;;;;;;;;;;x
REC.0207B;One feels so small in face of work desired by God.;On se sent si petit face à l'oeuvre voulue par Dieu.;;;;;;;;;;;;x
REC.0208;South Tower Complete;Achèvement Tour du Midi;;;;;;;;;;;;x
DESCREC.0208;The second Tour majestically compliments the first. Let's take care of the Great Rose now.;La seconde Tour complète magnifiquement la première. Occupons nous de la Grande Rosace à présent.;;;;;;;;;;;;x
REC.0208A;Finally! After all these years!;Enfin ! Après tant d'années !;;;;;;;;;;;;x
REC.0208B;Nothing can stop us when we do right;Ne nous arrêtons pas en si bon chemin !;;;;;;;;;;;;x
REC.0209;Completed the Rose Window;Achèvement Grande Rosace;;;;;;;;;;;;x
DESCREC.0209;The Rose Window that sits above the western portal is complete and proves once again how this building is grandiose.;La Grande Rosace qui trône au dessus du portail occidental est achevé et prouve une fois de plus combien cette édifice est grandiose.;;;;;;;;;;;;x
REC.0209A;And I thought the steeple had a steep price...;Un peu comme son prix...;;;;;;;;;;;;x
REC.0209B;This is only one piece of the grand design of God, next step.;Ce n'est qu'une pièce du grand dessein de Dieu, étape suivante.;;;;;;;;;;;;x
REC.1210;Feudal Chapelle Complete;Achèvement Chapelle Seigneuriale;;;;;;;;;;;;x
DESCREC.1210;The addition of a stately chapel will please the nobility immensely.;L'ajout de la Chapelle seigneuriale plaît immensément à la noblesse.;;;;;;;;;;;;x
REC.1210A;What is good for God is good to us !;Ce qui est bon pour Dieu est bon pour nous !;;;;;;;;;;;;x
REC.2210;Chime Complete;Achèvement Carillon;;;;;;;;;;;;x
DESCREC.2210;The addition of a Chime resounds the contribution of the city and thus its involvement in the work. The Citizens will be very grateful for this.;L'ajout du Carillon montre l'implication de la cité et donc sa contribution à l'oeuvre. Les citoyens vont sont très reconnaissants pour cela.;;;;;;;;;;;;x
REC.2210A;God inspires all.;Dieu nous inspire tous.;;;;;;;;;;;;x
REC.3210;Holy Chapel Complete;Achèvement Très Sainte Chapelle;;;;;;;;;;;;x
DESCREC.3210;The Addition of this Holy Chapel proves our devotion to the Lord and inspires great respect from all the ecclesiastical class.;L'ajout de cette Très Sainte Chapelle prouve notre dévotion au Seigneur et nous inspire le plus grand respect de la part de toute la classe écclésiastique.;;;;;;;;;;;;x
REC.3210A;Amen !;Amen !;;;;;;;;;;;;x
REC.0211;Celestial Spire Complete;Achèvement Flèche Céleste;;;;;;;;;;;;x
DESCREC.0211;The Cathedral's Spire faces heaven and continues to adds to the reputation of the building.;La Flèche de la cathédrale tutoie les cieux et ajoute encore au rayonnement de l'édifice.;;;;;;;;;;;;x
REC.0211A;This stage bring us close to completion.;On approche de la fin cette fois.;;;;;;;;;;;;x
REC.0211B;Good.;Bien.;;;;;;;;;;;;x
REC.0212;Cathedral Complete;Achèvement Cathédrale;;;;;;;;;;;;x
NAMEREC.0212;The Cathedral;La Cathédrale;;;;;;;;;;;;x
DESCREC.0212;The finishing touches are now complete. We can no longer count the amounts of statues, sculptures, gargoyles and stained glass. The interior frescoes are magnificent. Completing the construction of the Cathedral, a relic has officially been placed inside a case, and we will long remember its looming contributor: You !;Les finitions sont à présent achevées. On ne dénombre plus les statues, sculptures, gargouilles, vitraux. Les fresques intérieures sont magnifiques. Ainsi s'achève le chantier de la Cathédrale, la Relique a officiellement rejoins son écrin, et l'on se souviendra longtemps de son dernier contributeur : Vous !;;;;;;;;;;;x
REC.0212A;Glory to God;Gloire à Dieu;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
REC.1301;Donation from the faithful;Dons de fidèles;;;;;;;;;;;;x
DESCREC.1301;A number of followers, despite their humble wealth have sent the fruit of donation appeals to finance the Cathedral. Money is always welcome.;Nombre de fidèles, malgré leur peu de richesses nous ont fait parvenir le fruit d'une collecte de dons pour le financement de la Cathédrale. Argent qui est toujours le bienvenu.;;;;;;;;;;;;x
REC.1301A;That is timely;Voilà qui tombe à point.;;;;;;;;;;;;x
REC.1302;Pilgrim Donations;Dons de pélerins;;;;;;;;;;;;x
DESCREC.1302;The news of the construction of the Cathedral began to spread, and pilgrims flock in rising numbers almost daily. Their detachment from material things in life helps fill the coffers of on site construction.;Les nouvelles de la construction de la Cathédrale commencent à se répandre, et les pélerins affluent en nombres davantage chaque jour ou presque. Leur détachement des choses matérielles de la vie aide à remplir les caisses de financement du chantier.;;;;;;;;;;;;x
REC.1302A;This should help well, praise the Lord!;Cela devrait bien aider, louons le Seigneur !;;;;;;;;;;;;x
REC.1303;Support of the Pope;Soutien du Pape;;;;;;;;;;;;x
DESCREC.1303;The news of our great and holy enterprise of building a Cathedral has reached the ears of the Pope (thanks to a well informed conseiller ...). He has sent by the grace of God to us his contribution towards the project.;La nouvelle de notre grande et sainte entreprise d'édification d'une Cathédrale est parvenue aux oreilles du Pape (grâce à un conseiller fort bien informé...). Il nous fait parvenir par la grâce de Dieu sa contribution au projet.;;;;;;;;;;;;x
