CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;EVENTS GENERAUX - FLAVOUR;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
XYLO.0001;Hire a forester;Embaucher un forestier;;;;;;;;;;;x;
DESCXYLO.0001;My liege, you are clearly busy with managing the affairs of your people, might I suggest a member of your court that could fill the position of Forester?;Vous êtes très occupé à diriger vos gens et vos terres, aussi je me permets de vous proposer quelqu'un de votre Cour qui pourrait convenir pour le poste de Forestier.;;;;;;;;;;;;x
XYLO.0001A;He will do nicely. Have him start immediately.;Il fera l'affaire, qu'il se présente à moi et s'attèle à la tâche.;;;;;;;;;;;;x
XYLO.0001B;If one want a job done properly...;Je le choisirais moi même.;;;;;;;;;;;;x
XYLO.0002;Forest Specialization1;Spécialisation des Forêts1;;;;;;;;;;;;x
DESCXYLO.0002;After an evaluation of our domains, our Forester informs us that the forests of [From.Location.GetName] are both able to be used for hunting or for good lumber. \n Do we need to retain it to your private hunting pleasures or open it to exploitation ?;Après un inventaire de nos domaines, notre Forestier nous informe que les bois de [From.Location.GetName] sont giboyeux et abondent d'arbres de belle stature, quel développment privilègier ? \n \nDevons-nous en réserver l'usage à sa seigneurie pour son bon plaisir de chasse ou bien les faire exploiter par nos gens ?;;;;;;;;;;;;x
XYLO.0002A;Go for a hunt !;Partons chasser !;;;;;;;;;;;;x
XYLO.0002B;Lets those lazy peasents work for us !;Faisons-la exploiter par ces fainéants de paysans !;;;;;;;;;;;;x
XYLO.0003;Forest Specialization2;Spécialisation des Forêts2;;;;;;;;;;;;x
DESCXYLO.0003;After an evaluation of our domain, our forester informs us that our forest of  [From.Location.GetName] are composed of beautiful trees that will make perfect building and artistical material. A prosperous business should be possible. Should we assume the exclusive exploitation rights?;Après inventaire et évaluation de nos domaines boisés, notre Forestier nous informe que les forêts de [From.Location.GetName] sont composées de belles futaies qui feront de bons matériaux de construction et d'artisanat. Une belle rentabilité doit pouvoir en être tirée. \n \nJe suppose que l'on va s'en arroger un droit d'exploitation exclusif ?;;;;;;;;;;;;x
XYLO.0003A;Am I greedy ? So what ?!;Moi cupide ? Et alors ?!;;;;;;;;;;;;x
XYLO.0003B;Let's be generous and leave the unprofitable activities for farmers!;Soyons généreux laissons les activités peu rentables aux paysans !;;;;;;;;;;;;x
XYLO.0004;Forest Specialization3;Spécialisation des Forêts3;;;;;;;;;;;;x
DESCXYLO.0004;After an evaluation of our domain, our forester informs us that our forest of  [From.Location.GetName] would make an excellent framework for meditation and spirituel contemplation. Should we preserve these lands for such use or should we open them up to exploitation.;Suite à notre inventaire des nos bois, notre Forestier nous informe que les forêts de [From.Location.GetName] offrent un cadre excellent pour la pratique de la méditation et de l'ermitage. \n \n Devons-nous réserver ces domaines à cet usage ou les ouvrir à l'exploitation de ressources ?;;;;;;;;;;;;x
XYLO.0004B;Glory to God !;Gloire à Dieu !;;;;;;;;;;;;x
