CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;MISC;GENERAL;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#foret_xylo;Forests;Domaine Forestier;;;;;;;;;;;;x
#foret_xylo_desc;This province is abound with beautiful woodlands. Hiring a §YForester§! is needed to manage and ensure its security.;Cette province abonde de belles forêts. Engager un §YForestier§! est indispensable pour en assurer la gestion et la sécurité.;;;;;;;;;;;;x
foret_up;Great Forests Demesne;Domaine Forestier Agrandi;;;;;;;;;;;;x
foret_up_desc;Due to our policy of acquisitions, we have expanded our woodland areas and we can now make even greater profits.;Grâce à notre politique d'acquisitions, nous avons agrandit nos domaines boisés et nous pouvons à présent en tirer encore davantage de profits.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#dom_forest_ca;Castle Forest;Forêt Seigneuriale;;;;;;;;;;;;x
#dom_forest_ca_desc;The timber is reserved strictly for the landowner. The villagers can however still access the forest to undertake other forest activities, such as gathering.;L'exploitation du bois est réservée au propriétaire foncier. Les habitants des villages ont cependant accès à la forêt pour leurs activités forestières autres comme la cueillette par exemple.;;;;;;;;;;;;x
#dom_forest_ct;Communal Forest;Forêt Communale;;;;;;;;;;;;x
#dom_forest_ct_desc;The timber is reserved strictly for the landowner. The villagers can however still access the forest to undertake other forest activities, such as gathering.;L'exploitation du bois est réservée au propriétaire foncier. Les habitants des villages ont cependant accès à la forêt pour leurs activités forestières autres comme la cueillette par exemple.;;;;;;;;;;;;x
#dom_forest_tp;Clerical Forest;Forêt Clericale;;;;;;;;;;;;x
#dom_forest_tp_desc;The timber is reserved strictly for the landowner. The villagers can however still access the forest to undertake other forest activities, such as gathering.;L'exploitation du bois est réservée au propriétaire foncier. Les habitants des villages ont cependant accès à la forêt pour leurs activités forestières autres comme la cueillette par exemple.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#foret3_chasse;Hunting Demesne;Domaine de Chasse;;;;;;;;;;;;x
#foret3_chasse_desc;The game in these lands are reserved soley for the private use of the lord for hunting. The exploitation of other resources is permitted but poaching will be severely punished.;Il s'agit là des terres réservées à l'usage privé du seigneur pour la pratique de la chasse. L'exploitation des autres ressources reste autorisé mais tout braconnage sera durement réprimé.;;;;;;;;;;;;x
#expl_forest;Exploited Forest;Exploitation Forestière;;;;;;;;;;;;x
#expl_forest_desc;This forest is operated exclusively for the benefit of its owner. This ensures better returns but also a disgruntled populace;Cette forêt est exploitée exclusivement pour le compte de son propriétaire. Ce qui assure de meilleurs revenus mais mécontente la population.;;;;;;;;;;;;x
#holy_forest;Sanctuary Forest;Forêt Sanctuarisée;;;;;;;;;;;;x
#holy_forest_desc;Although part in either shelter or sanctuary to places of worship, the majority of resources are left to free disposal of the people and smallholders.;Bien qu'une part en soit sanctuarisée pour y abriter des lieux d'ermitage, la majeure partie des ressources sont laissées à libre disposition du peuple et de petits propriétaires.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
loi_forestiere_L1;Forest licence;Licence Forestière;;;;;;;;;;;;x
