#;;x;;;;;;;;;;;;x
#####TECH_GROUP_MILITARY;;x;;;;;;;;;;;;x
#TECH_LIGHT_INFANTRY;;x;;;;;;;;;;;;x
#TECH_HEAVY_INFANTRY;;x;;;;;;;;;;;;x
#TECH_CAVALRY;;x;;;;;;;;;;;;x
TECH_LOGISTIQUE;Logistic;Logistique;;;;;;;;;;;;x
TECH_LOGISTIQUE_DESC;Besten transport capacities and supply.;Améliore les capacités de transport et de ravitaillement.;;;;;;;;;;;;x
TECH_SIEGE_EQUIPMENT;Defensive;Défensif;;;;;;;;;;;;x
TECH_SIEGE_EQUIPMENT_DESC;Improves all defensive stuff, garrisons, fortifications, siege resistance.;Améliore tout ce qui touche à la défense, des garnisons protégeant nos domaines aux fortifications en passant par notre préparation à soutenir des sièges.;;;;;;;;;;;;x
TECH_RECRUITMENT;Offensive;Offensif;;;;;;;;;;;;x
TECH_RECRUITMENT_DESC;Improves all offensive stuff, levies, training, elite troops, siege speed.;Améliore le domaine offensif à travers une capacité d'entraînement des troupes plus importantes et plus efficaces, permet le recrutement d'unités d'élites permanentes et le développement d'outils de sièges plus performants.;;;;;;;;;;;;x
#####TECH_GROUP_ECONOMY;;x;;;;;;;;;;;;x
TECH_ADMINISTRATION_FISCALE;Tax system;Fiscalité;;;;;;;;;;;;x
TECH_ADMINISTRATION_FISCALE_DESC;Your capacity to administrate your land and crop taxes from it. Mind you ! Your people dislike paying taxes !;Démontre la capacité d'un seigneur à administrer ses terres. Capacité qui se répercute sur l'efficacité de collecte des impôts auprès des vassaux, du clergé, et des villes. Bien entendu, personne n'aime payer ses impôts !;;;;;;;;;;;;x
TECH_CONSTRUCTION;Construction costs;Coûts de construction;;;;;;;;;;;;x
TECH_CONSTRUCTION_DESC;The art of saving money from the cost constructions;;L'économie de la construction est l'art d'optimiser ses coûts de construction à travers le choix des matériaux, leurs provenances, les chaînes d'approvisionnement, une bonne supervision des chantiers.;;;;;;;;;;;;x
TECH_CITY_CONSTRUCTION;Construction duration;Temps de construction;;;;;;;;;;;;x
TECH_CITY_CONSTRUCTION_DESC;Mastering construction technologies and organisation.;La maîtrise des techniques de construction et les progrès tehnologiques en la matière permettent de construire mieux et plus vite !;;;;;;;;;;;;x
TECH_TRADE_PRACTICES;Great trade;Grand commerce;;;;;;;;;;;;x
TECH_TRADE_PRACTICES_DESC;Great scale trade related stuff.;Ceci régit les infrastuctures et pratiques commerciales permettant de tisser des réseaux commerciaux à travers le royaume.;;;;;;;;;;;;x
TECH_TRADE_PRACTICES_LOCAL;Local trade;Commerce local;;;;;;;;;;;;x
TECH_TRADE_PRACTICES_LOCAL_DESC;It deals with local trade, fairs, markets.;Le commerce local régit les droits de marché et foires et permet aussi de veiller à l'entretien et l'amélioration des infrastructures utilisées localement pour le commerce.;;;;;;;;;;;;x
TECH_CAPITALES;Capitales;Capitales;;;;;;;;;;;;x
TECH_CAPITALES_DESC;Permits improving your capital holding, its specialisation and your residence.;Permet de développer davantage sa capitale, sa résidence et les bâtiments de spécialisation des domaines;;;;;;;;;;;;x
#####TECH_GROUP_CULTURE;;x;;;;;;;;;;;;x
TECH_TRADITIONS;Traditions;Traditions;;;;;;;;;;;;x
TECH_TRADITIONS_DESC;Invest in traditions and reinforce your culture brings you the benefits of cultural troops but also tends to make you rejecting others cultures.;Investir dans le renforcement et la pérennisation des us et coutumes accroit la confiance de vos vassaux et de vos pairs. Cela développe également l'appartenance culturelle, au détriment des autres cultures mais permet de faire exceller vos unités culturelles.;;;;;;;;;;;;x
TECH_RELIGION;Religion;Essor religieux;;;;;;;;;;;;x
TECH_RELIGION_DESC;Placing religion at the center of your interests makes you more pious but also make you less tolerated by the other ones.;Placer la religion au centre des préoccupations du royaume accroitra notre piété mais attisera probablement le rejet des autres religions.;;;;;;;;;;;;x
TECH_EDUCATION;Education;Education;;;;;;;;;;;;x
TECH_EDUCATION_DESC;This let's you develop education infrastructures and tends to lower culture and religion intolerance.;Ceci permet de faire évoluer nos infrastructures dans ce domaine et également de prôner à davantage d'acceptation de l'autre, quelque soit sa culture ou sa religion.;;;;;;;;;;;;x
TECH_SCIENCES;Sciences;Sciences;;;;;;;;;;;;x
TECH_SCIENCES_DESC;They bring all sorts of progresses but most conservative people won't really like that.;Les sciences apportent toutes sortent de progrès, notamment sur le domaine de l'hygiène et de la santé, ce qui ne plaît pas forcément aux plus conservateurs.;;;;;;;;;;;;x
TECH_MAJESTE;Majesty;Majesté;;;;;;;;;;;;x
TECH_MAJESTE_DESC;The more you rule, the more prestigious and respected you are... in theory.;Gravir en niveau de majesté nous permet à la fois une meilleure reconnaissance de la légitimité des nouveaux souverains mais aussi d'accroître le prestige de nos souverains et de notre famille.;;;;;;;;;;;;x
TECH_LEGALISM;Administration;Administration;;;;;;;;;;;;x
TECH_LEGALISM_DESC;Our capacity to rule directly our demesne.;De notre capacité à bien administrer nos terres dépend la taille maximale des domaines directement sous notre coupe.;;;;;;;;;;;;x
