#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
found_a_monastery;Found a Monastery;Fonder un Monastère;;;;;;;;;;;x;
found_a_monastery_desc;Oversee the construction of a monastery.;Parrainer la construction d'un monastère.;;;;;;;;;;;;x
MONASTERYPLANNING;Planning Begins!;La planification commence !;;;;;;;;;;;;x
customrel.0.desc;I have decided to support the construction of a new monastery on my lands. The monks there will pray for my immortal soul!;I have decided to support the construction of a new monastery on my lands. The monks there will pray for my immortal soul!;;;;;;;;;;;;x
customrel.0.a;Laus Deo!;Laus Deo !;Laus Deo !;Laus Deo !;;;;;;;;;x;
WHEREISTHEMONASTERY;Land for the Monks;Une terre pour le monastère;;;;;;;;;;;;x
customrel.1.desc;Before the first stone can be laid, land must be granted to the monks and a location chosen for the monastery.;Avant que la première pierre ne soit posée, une terre doit être choisie et donnée aux moines pour s'y établir.;;;;;;;;;;;;x
customrel.1.a;Give them twice as much as they say they need.;Donnons leur deux fois plus que de besoin;;;;;;;;;;;;x
customrel.1.b;I know just the place!;Je connais l'endroit parfait !;;;;;;;;;;;;x
customrel.1.c;Let's not get carried away.;Restons-en là..;;;;;;;;;;;;x
POPEORCHAR;Who's In Charge?;Qui est aux affaires ?;;;;;;;;;;;;x
customrel.2.desc;Many noble families exercise authority over the monasteries they have founded, but some believe the monks should answer to the Pope directly.;L'autorité d'un monastère tombe souvent sous la coupe de la famille de nobles qui l'a fondé. Mais certains pensent qu'il est préférable que le monastère dépende directement du Pape.;;;;;;;;;;;;x
customrel.2.a;Of course my monastery will answer to the Pope;Bien entendu le monastère répondra directement du Pape;;;;;;;;;;;;x
customrel.2.b;I'm in charge around here!;Ces terres relèvent toujours de ma juridiction...;;;;;;;;;;;;x
HEYABBOTT;Pick the Abbot;Choisir le prieur;;;;;;;;;;;;x
customrel.3.desc;Construction of the monastery is nearly complete, but the nobles and the clergy disagree on who would make the best abbot.;La construction du monastère touche à sa fin, mais les nobles et le clergé s'opposent pour le meilleur choix pour le futur prieur, chacun voulant placer un de ses représentants à la tête du monastère.;;;;;;;;;;;;x
customrel.3.a;The abbot should be a well-trained cleric.;Le prieur sera choisi parmi ses pairs religieux.;;;;;;;;;;;;x
customrel.3.b;The abbot should come from a noble family!.Le prieur doit être issu d'une famille noble !;;;;;;;;;;;;x
MONASTERYCOMPLETE;Monastery Complete!;Monastère achevé!;;;;;;;;;;;;x
customrel.4.desc;The monastery is complete! The monks will pray for my soul and the souls of my family members for generations to come!;Le monastère est achevé ! Les moines pourront dès lors y prier pour le salut et de mon âme et celui des âmes des membres de ma famille et même pour les générations à venir !;;;;;;;;;;;;x
customrel.4.a;I feel better already!;Je me sens déjà mieux !;;;;;;;;;;;;x
