#;;x;;;;;;;;;;;;x
construire_cathedrale;Build a cathedral;Construire une cathédrale;;;;;;;;;;;;x
TOOLTIPCONSTRUIRECATHEDRALE;Beginning of the construction;Début de la construction;;;;;;;;;;;;x
offrir_sculpture;;Offrir une sculpture à quelqu'un;;;;;;;;;;;;x
offrir_sculpture_desc;;Vous ne pouvez offrir une sculpture à quelqu'un qu'une fois par an.\nCe cadeau devrait faire plaisir à celui qui le reçoit.;;;;;;;;;;;;x
TOOLTIPOFFRIRSCULPTURE;;Je vais choisir à qui l'offrir de façon logique.;;;;;;;;;;;;x
offrir_fresque;;Offrir une fresque à quelqu'un;;;;;;;;;;;;x
offrir_fresque_desc;;Vous ne pouvez offrir une fresque à quelqu'un qu'une fois par an.\nCe cadeau devrait faire plaisir à celui qui le reçoit.;;;;;;;;;;;;x
TOOLTIPOFFRIRFRESQUE;;Je vais choisir à qui l'offrir de façon logique.;;;;;;;;;;;;x
offrir_vitrail;;Offrir un vitrail à quelqu'un;;;;;;;;;;;;x
offrir_vitrail_desc;;Vous ne pouvez offrir un vitrail à quelqu'un qu'une fois par an.\nCe cadeau devrait faire plaisir à celui qui le reçoit.;;;;;;;;;;;;x
TOOLTIPOFFRIRVITRAIL;;Je vais choisir à qui l'offrir de façon logique.;;;;;;;;;;;;x
